Timestamp;Losses_of_pressure_in_hydralic_system
01.01.2017;0.138376567
02.01.2017;0.10805097
03.01.2017;0.336075416
04.01.2017;0.221479227
05.01.2017;0.092329834
06.01.2017;0.105022307
07.01.2017;7.436703751
08.01.2017;0.739613944
09.01.2017;6.100538785
10.01.2017;8.683567276
11.01.2017;8.176646974
12.01.2017;0.737706456
13.01.2017;8.565310431
14.01.2017;5.405566519
15.01.2017;0.429910602
16.01.2017;0.178775878
17.01.2017;0.349414709
18.01.2017;0.076668724
19.01.2017;0.187493973
20.01.2017;0.21748887
21.01.2017;0.350664109
22.01.2017;0.249793808
23.01.2017;0.124354746
24.01.2017;0.151798743
25.01.2017;0.207593755
26.01.2017;0.260382976
27.01.2017;0.302581349
28.01.2017;0.443096044
29.01.2017;0.265926227
30.01.2017;0.410463293
31.01.2017;0.389382764
01.02.2017;0.242762192
02.02.2017;0.090612515
03.02.2017;0.2987202
04.02.2017;0.373782702
05.02.2017;0.092277613
06.02.2017;0.439269282
07.02.2017;0.462999613
08.02.2017;0.129593319
09.02.2017;0.125017227
10.02.2017;0.381683432
11.02.2017;0.349122276
12.02.2017;0.291333144
13.02.2017;0.499893586
14.02.2017;0.197117799
15.02.2017;0.399579774
16.02.2017;0.029785787
17.02.2017;0.434068616
18.02.2017;0.019537765
19.02.2017;0.346980935
20.02.2017;N/A
21.02.2017;0.342253775
22.02.2017;0.369732001
23.02.2017;0.206004484
24.02.2017;0.064540499
25.02.2017;0.171449795
26.02.2017;0.010932865
27.02.2017;0.217957138
28.02.2017;0.237136897
01.03.2017;0.145411051
02.03.2017;0.541304262
03.03.2017;0.34583613
04.03.2017;0.072861347
05.03.2017;0.318103422
06.03.2017;0.260950971
07.03.2017;0.482565148
08.03.2017;0.424897951
09.03.2017;0.350151206
10.03.2017;0.510062364
11.03.2017;0.471943555
12.03.2017;0.300538129
13.03.2017;0.160634198
14.03.2017;0.472120419
15.03.2017;0.230738327
16.03.2017;0.064285815
17.03.2017;0.235218153
18.03.2017;0.165748969
19.03.2017;0.259522613
20.03.2017;0.531437337
21.03.2017;0.58160865
22.03.2017;0
23.03.2017;7.01E-05
24.03.2017;0.44064164
25.03.2017;0.5920441
26.03.2017;0.534931391
27.03.2017;0.60232639
28.03.2017;0.218421669
29.03.2017;0.552958317
30.03.2017;0.092667935
31.03.2017;0.301237297
01.04.2017;0.059653644
02.04.2017;0.349880312
03.04.2017;0.267161511
04.04.2017;0.588772403
05.04.2017;0.554300672
06.04.2017;0.05087708
07.04.2017;0.535584996
08.04.2017;0.418072846
09.04.2017;0.352777408
10.04.2017;0.33118263
11.04.2017;0.212668476
12.04.2017;0.30345592
13.04.2017;0.510977588
14.04.2017;0.085268462
15.04.2017;0.659240973
16.04.2017;0.598245649
17.04.2017;0.518991617
18.04.2017;0.451817281
19.04.2017;0.290724116
20.04.2017;0.483858123
21.04.2017;0.335832733
22.04.2017;0.07659655
23.04.2017;0.365462998
24.04.2017;0.136112971
25.04.2017;0.469789149
26.04.2017;0.470287533
27.04.2017;0.149546565
28.04.2017;0.143446508
29.04.2017;0.511458616
30.04.2017;0.406731912
01.05.2017;0.127846336
02.05.2017;0.257695151
03.05.2017;0.307416784
04.05.2017;0.630553829
05.05.2017;0.193154801
06.05.2017;0.14202023
07.05.2017;0.428220251
08.05.2017;0.158677584
09.05.2017;0.649248101
10.05.2017;0.328889721
11.05.2017;0.61275105
12.05.2017;0.0423279
13.05.2017;0.201129485
14.05.2017;0.2858973
15.05.2017;0.629403629
16.05.2017;0.25872401
17.05.2017;0.55048804
18.05.2017;0.080259362
19.05.2017;0.135314962
20.05.2017;0.066827882
21.05.2017;0.150622876
22.05.2017;0.238703608
